Sensors,S0,S1,S6,S7,S8,S11,S12,S14
HG3420,0.006336778003349719,3.2192789636367247,2.7623052703592945,0.12360370170558072,0.3932707613125529,5.606731138591572,0.12007426275164243,0.28558273375034937
HG3445,0.0005622953925282033,3.715469779221552,2.492299317205316,0.21612255547205012,0.5482474202499683,6.106701747923376,0.19345728949273422,0.185858661270147
HG3835,7.966957092284142e-05,8.861813836693747,0.8988889343175908,1.371712185001368,2.1171138070836615,6.965857387337933,0.8451729548070684,1.1300044249602703
HG3933,0.0039695614212184715,7.627764716744423,0.9648655425609067,1.6069794483372126,3.2964354079001708,7.029445350446627,0.9020744520310183,1.1421130628172345
HG4150,2.462301403216377e-07,3.6596607741349616,228.3537872054636,11.798262699674906,0.5047441631738153,6.200972381759071,0.07500089623369183,0.42028519780374324
HG4162,0.0010496547975575204,3.497383952289809,46.63747637389348,1.0362286889591277,0.4323736720621638,6.03804036785512,0.03646598640829216,0.5201130828336878
HG4215,0.0008943144277672549,3.432210796910922,46.330813587838826,1.0721772043057836,0.4489597065750517,6.001391988393004,0.05450076054073631,0.4881752249994355
HG4339b,0.004441623711585393,54.72966167390385,2.2192052171289904,9.840754448491733,19.859592024723508,9.212436520547033,2.0258320247266246,2.0485420804494225
HG4383,0.004039857772085743,75.90731591835025,2.193064701535636,11.832082031104795,18.342035915237073,9.270142414295053,1.7601405340805574,1.9972612437085215
HG4540,4.250349188219034e-05,89.62902307138599,2.3393230134830723,13.262946767673286,22.12795995836792,9.194003726296986,2.0282643125974573,2.055228227545162
HG4576,0.0020679761801147833,185.53600524926696,2.9462780129758293,22.910859204084048,24.985220233156724,10.651614863363129,2.060510078968946,2.525024095962037
HG4744,0.001366740374104204,6.438335154799431,2.24115670143874,4.030653290161909,0.3128462786229565,8.299865499669924,1.4705609008721585,1.8085681852754454
